game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3211512,34429,2,,Zekirija Ramadani,10734,2,,Scott Ruscoe,Away,0
3211523,272,1,,Rikard Norling,53453,2,,Vardan Minasyan,Away,0
3211526,1008,2,,Toni Koskela,4313,2,,Heimir Gudjónsson,Away,0
3211777,2457,0,15,Pedro Ribeiro,2424,2,8,Vítor Oliveira,Away,0
3211784,2420,0,6,Ivo Vieira,1301,0,11,José Gomes,Away,0
3211788,2424,0,8,Vítor Oliveira,2995,0,15,Pêpa,Away,0
3211793,979,1,13,Ricardo Soares,7179,1,10,Natxo González,Away,0
3211816,979,5,13,Ricardo Soares,2424,1,12,Vítor Oliveira,Away,1
3211824,2420,7,8,Ivo Vieira,3329,0,5,João Pedro Sousa,Away,1
3211828,1085,1,9,Julio Velázquez,979,1,13,Ricardo Soares,Away,0
3212614,979,1,9,Ricardo Soares,2503,0,13,Daniel Ramos,Away,1
3212620,294,2,2,Bruno Lage,7378,2,17,Paulo Sérgio,Away,0
3212649,979,1,9,Ricardo Soares,3336,0,18,Nuno Manta Santos,Away,1
3212654,3329,1,5,João Pedro Sousa,7179,0,16,Natxo González,Away,1
3216038,1426,1,10,Robert Maaskant,468,4,5,Henk Fraser,Away,0
3216050,383,2,6,Mark van Bommel,1304,0,16,Frank Wormuth,Away,1
3216055,202,0,10,Danny Buijs,1090,0,2,Arne Slot,Away,0
3216058,202,1,11,Danny Buijs,383,3,3,Mark van Bommel,Away,0
3216059,317,0,8,Gonzalo García,306,0,10,Johnny Jansen,Away,0
3216072,1090,1,4,Arne Slot,499,2,3,Leonid Slutski,Away,0
3216109,1090,1,3,Arne Slot,403,1,10,Adrie Koster,Away,0
3216112,403,1,7,Adrie Koster,317,0,12,Gonzalo García,Away,1
3216115,1268,1,16,Alfons Groenendijk,1269,3,13,John Stegeman,Away,0
3216135,403,0,6,Adrie Koster,202,2,9,Danny Buijs,Away,0
3216142,1269,1,16,John Stegeman,317,2,11,Gonzalo García,Away,0
3216182,317,0,12,Gonzalo García,235,3,18,Fred Grim,Away,0
3216219,499,0,6,Edward Sturing,202,1,8,Danny Buijs,Away,0
3216231,1283,0,13,Dick Lukkien,385,0,14,Sjors Ultee,Away,0
3216232,306,2,10,Johnny Jansen,499,4,6,Edward Sturing,Away,0
3219076,989,3,6,Eddie Howe,180,1,13,Ralph Hasenhüttl,Away,1
3219089,29,0,12,Marco Silva,405,2,16,Dean Smith,Away,0
3219103,1237,2,15,Graham Potter,1132,1,10,Sean Dyche,Away,1
3219104,148,1,6,José Mourinho,873,1,14,Roy Hodgson,Away,0
3219109,180,1,12,Ralph Hasenhüttl,29,1,11,Carlo Ancelotti,Away,0
3219138,631,2,4,Frank Lampard,405,1,19,Dean Smith,Away,1
3219146,180,2,12,Ralph Hasenhüttl,989,0,19,Eddie Howe,Away,1
3219147,873,0,14,Roy Hodgson,543,2,6,Nuno Espírito Santo,Away,0
3219166,350,0,8,Chris Wilder,1003,2,4,Brendan Rodgers,Away,0
3219168,281,1,2,Pep Guardiola,631,2,4,Frank Lampard,Away,0
3219190,29,0,11,Carlo Ancelotti,148,1,8,José Mourinho,Away,0
3219193,989,0,16,Eddie Howe,1132,3,10,Sean Dyche,Away,0
3219195,631,2,4,Frank Lampard,379,3,16,David Moyes,Away,0
3219196,1010,0,19,Nigel Pearson,985,3,5,Ole Gunnar Solskjaer,Away,0
3219220,631,2,4,Frank Lampard,1003,2,3,Brendan Rodgers,Away,0
3219242,543,0,8,Nuno Espírito Santo,985,0,7,Ole Gunnar Solskjaer,Away,0
3219262,148,0,6,José Mourinho,180,1,12,Ralph Hasenhüttl,Away,0
3219267,1003,2,2,Brendan Rodgers,379,1,17,Manuel Pellegrini,Away,1
3219271,148,2,6,José Mourinho,1123,2,20,Daniel Farke,Away,0
3219278,1237,1,15,Graham Potter,148,2,6,José Mourinho,Away,0
3219283,350,0,8,Chris Wilder,281,2,3,Pep Guardiola,Away,0
3219358,543,2,5,Nuno Espírito Santo,989,1,11,Eddie Howe,Away,1
3219386,11,0,5,Unai Emery,350,1,9,Chris Wilder,Away,0
3219412,1123,0,16,Daniel Farke,1132,2,9,Sean Dyche,Away,0
3219413,543,1,19,Nuno Espírito Santo,873,1,12,Roy Hodgson,Away,0
3219416,631,5,6,Frank Lampard,543,2,19,Nuno Espírito Santo,Away,1
